Zip Code,City,State,Population,Median Age,Household Income,Per Capita Income
15081,South Heights,PA,342,50.2,31500,22177
20615,Broomes Island,MD,424,43.4,114375,43920
50201,Nevada,IA,8139,40.4,56619,28908
84020,Draper,UT,42751,30.4,89922,33164
39097,Louise,MS,495,58,26838,17399
72315,Blytheville,AR,24120,34.4,37044,19837
5454,Fairfax,VT,4754,38.7,74911,31192
53816,Mt Hope,WI,942,33.4,44375,18813
5483,Sheldon,VT,1481,35.9,65039,24743
37345,Huntland,TN,2155,46,38688,20549
1922,Byfield,MA,3025,44.4,109301,40983
95237,Lockeford,CA,3269,38.7,44542,22400
12429,Esopus,NY,273,38.7,114129,43122
6516,West Haven,CT,55349,36.9,52353,26602
81087,Vilas,CO,192,26.8,34500,13210
5492,Waterville,VT,727,41,53315,23399
2543,Woods Hole,MA,736,49.7,66250,50348
6062,Plainville,CT,17767,42.4,60630,32531
95008,Campbell,CA,45187,37.3,87204,44023
4418,Greenbush,ME,1632,42,37955,19692
96818,Honolulu,HI,51522,31.3,70850,26894
87734,Ocate,NM,190,60.4,42813,19060
30564,Murrayville,GA,3714,40.5,64213,23422
23146,Rockville,VA,3107,47,77207,37414
85250,Scottsdale,AZ,16653,48.6,59358,39968
59529,Hogeland,MT,143,57.2,115938,70966
1430,Ashburnham,MA,6119,42.4,83532,34454
90003,Los Angeles,CA,66200,26.2,29686,9963
93925,Chualar,CA,1708,32.5,70909,23642
54229,New Franken,WI,4123,40.4,68667,29538
77378,Willis,TX,14151,34.7,48136,24117
17938,Hegins,PA,2489,42.7,58409,23520
65332,Green Ridge,MO,1656,40.3,40511,18929
35956,Boaz,AL,8716,40,46844,19615
44093,Williamsfield,OH,1104,37.8,32344,20559
12156,Schodack Landing,NY,933,40.5,64107,31616
14113,North Java,NY,630,45.6,47500,33149
17774,Unityville,PA,1261,35.7,45795,20033
36736,Dixons Mills,AL,1756,42.3,28333,17708
37727,Del Rio,TN,2101,49.8,29779,20369
12759,Loch Sheldrake,NY,2033,30.1,37902,13996
25669,Crum,WV,908,44,35302,16972
63039,Gray Summit,MO,1297,31.7,44521,18539
22025,Dumfries,VA,16955,40,115000,48008
24083,Daleville,VA,2277,46.4,91295,47678
10303,Staten Island,NY,24537,31.1,51537,22077
28436,Delco,NC,2170,37.9,45417,22077
79345,Meadow,TX,968,41.1,53281,22971
33029,Hollywood,FL,47086,36.6,88264,30976
8872,Sayreville,NJ,20041,37.7,72956,32666
24281,Rose Hill,VA,2691,37.6,22902,15557
14555,Sodus Point,NY,1229,54.9,57500,30559
44629,Gnadenhutten,OH,2707,35.9,43545,19101
47591,Vincennes,IN,26995,37.1,40815,20681
20886,Montgomery Village,MD,34023,34,77136,35177
22191,Woodbridge,VA,61863,30.9,79198,31401
