Zip Code,Burgers Review Count,Burgers Average Rating
3048,21,2.761904762
3064,69,3.65942029
3104,154,3.811688312
4107,197,3.697969543
4357,4,2.5
5261,8,2.375
5301,9,2.444444444
6019,245,3.793877551
6062,266,3.968045113
6069,177,3.872881356
10007,8113,4.083199803
10303,2214,4.194444444
10309,2838,3.76744186
10553,1902,3.926656151
10803,4133,4.067626421
10913,3974,4.206718671
10984,1098,3.971766849
11105,9949,4.215448789
11220,3713,4.097764611
11385,2382,4.230058774
11693,2309,3.918796016
11722,1686,4.122182681
12010,1192,4.402265101
12148,1614,4.184634449
12723,1111,4.143564356
12759,540,4.038888889
12789,241,3.045643154
12804,3662,4.026078646
12831,2388,4.100921273
12941,3830,4.034073107
13068,2172,4.068139963
13326,3037,3.962792229
13335,2505,4.217165669
13402,603,3.874792703
13495,807,4.36307311
13637,1209,3.558312655
13827,1196,4.050585284
14033,1749,4.015151515
14131,2432,4.244860197
14304,2658,4.264108352
14555,195,3.638461538
14715,429,4.193473193
14806,494,4.069838057
14807,558,4.036738351
15206,4092,4.130131965
15656,685,4.154744526
16870,2216,3.747969314
16930,895,3.929608939
17018,2033,4.224053123
17051,478,3.965481172
17214,525,3.354285714
17327,1723,4.154672084
17737,1086,4.158839779
17774,894,4.302013423
17938,835,4.261676647
17980,1855,4.330458221
18042,2368,4.223817568
18237,518,3.335907336
18519,1331,4.019158527
18914,2458,3.976810415
19023,2788,4.003766141
19057,1962,4.05351682
19076,1999,3.947723862
19372,734,3.584468665
20143,4211,3.657326051
20634,2238,3.893655049
20886,2959,4.134673876
21053,1418,3.977080395
21061,6689,4.06548064
21750,1346,4.079123328
21901,1463,3.969241285
22025,4978,3.92818401
22066,3559,4.255970778
22102,6076,3.724983542
22191,4905,3.847910296
22834,3574,4.183268047
22952,2927,3.992654595
23146,3430,4.148979592
23219,7171,4.249686236
23602,3521,4.176796365
23665,3667,4.164439596
23832,2949,4.074432011
24083,1536,4.063476563
24137,714,4.041316527
24281,28,3.375
25253,419,3.947494033
25401,1088,4.034007353
25414,4698,4.232758621
25427,5444,4.378765614
25442,2760,4.071195652
25559,1143,3.675853018
25571,1002,3.843313373
25865,988,3.763663968
26205,423,3.328605201
26807,2048,4.304443359
27043,1861,3.999462654
27249,3245,4.365947612
27262,1580,4.141772152
27283,4352,4.277573529
27288,1022,4.051369863
27317,3300,4.343333333
27358,4108,4.307935735
27541,2605,4.10403071
27549,2279,4.470601141
27822,1244,4.435289389
28076,275,3.683636364
28208,6615,4.081103553
28226,5406,4.332130966
28327,1339,4.184092606
28349,499,3.566132265
28371,1300,3.970769231
28395,1268,3.978312303
28436,2432,4.291735197
28618,4074,4.248772705
28635,421,4.017814727
28697,557,4.070915619
28732,5403,4.303812697
28782,1646,4.195321993
29001,1936,3.948347107
29113,34,3.911764706
29170,2712,4.260877581
29468,1082,4.137245841
29834,461,3.882863341
30120,1732,4.118937644
30152,4915,4.214750763
30177,1733,4.094345066
30236,2211,4.218227047
30268,2544,4.280267296
30309,18242,4.22656507
30564,2014,3.91509434
30601,3646,4.227372463
30666,1974,4.035460993
31007,622,3.849678457
31405,11358,4.461348829
31771,766,4.218668407
32025,1850,4.158918919
32064,916,3.969432314
32187,1099,3.884895359
32409,5195,4.157651588
32444,3226,4.07734036
32535,508,3.888779528
33025,4544,4.073173415
33029,4176,3.973659004
33129,11908,4.192811555
33496,5300,3.931698113
33542,1271,3.696302124
33559,4140,4.073429952
33614,3956,4.207280081
34209,5298,4.1600604
34224,2939,3.877169105
34744,3613,4.35012455
35005,938,4.059168443
35117,2391,4.332915098
35475,2288,4.302447552
35801,2029,4.116067028
35907,668,4.182634731
35951,835,4.24251497
35956,528,4.234848485
36558,148,3.807432432
36619,1572,4.078880407
36701,469,4.309168443
36736,60,3.833333333
37067,2602,4.070906995
37080,8708,4.250689022
37101,1249,4.126501201
37191,2243,3.961658493
37336,2894,4.287491361
37345,221,3.429864253
37727,1306,4.272970904
37737,1292,4.09752322
37743,886,4.232505643
37923,3773,4.255234561
38049,1287,4.285936286
38224,611,4.018821604
38229,116,3.517241379
38504,194,4.152061856
38858,1516,4.366424802
38870,1395,4.368458781
40060,141,3.812056738
40769,918,4.224400871
41046,422,3.347156398
41073,5589,4.306852746
41564,299,2.931438127
41649,287,3.909407666
42025,472,4.311440678
42031,215,3.86744186
